"","name","handedness","height","avg","HR","summary"
"605","Ken Suarez","R",69,0.227,5,0
"606","Rick Peters","B",69,0.277,2,0
"607","Ron Stone","L",74,0.241,6,0
"608","Tommie Agee","R",71,0.255,130,0
"609","Bob Bailey","R",73,0.257,189,0
"610","Cap Peterson","R",74,0.23,19,0
"611","Ted Uhlaender","L",74,0.263,36,0
"612","Ted Simmons","B",71,0.285,248,0
"613","Bobby Murcer","L",71,0.277,252,0
"614","Dick Tracewski","R",71,0.213,8,0
"615","Bill Nahorodny","R",74,0.241,25,0
"616","Bill Madlock","R",71,0.305,163,0
"617","Bob Boone","R",74,0.254,105,0
"618","Steve Kemp","L",72,0.278,130,0
"619","Rick Burleson","R",70,0.273,50,0
"620","Carl Taylor","R",74,0.266,10,0
"621","Terry Harmon","R",74,0.233,4,0
"622","Mike Hargrove","L",72,0.29,80,0
"623","Steve Hovley","L",70,0.258,8,0
"624","Don Leppert","R",74,0.229,15,0
"625","Lee May","R",75,0.267,354,0
"626","Sam McDowell","L",77,0.154,2,0
"627","Rick Renick","R",72,0.221,20,0
"628","Jeff Torborg","R",72,0.214,8,0
"629","Dave Campbell","R",73,0.213,20,0
"630","Pat Kelly","L",73,0.264,76,0
"631","Al Weis","B",72,0.219,7,0
"632","Jerry Turner","L",69,0.257,45,0
"633","Rick Auerbach","R",72,0.22,9,0
"634","Don Wilson","R",74,0.146,1,0
"635","Sandy Valdespino","L",68,0.23,7,0
"636","Ken Phelps","L",73,0.239,123,0
"637","Cesar Cedeno","R",74,0.285,199,0
"638","Phil Linz","R",73,0.235,11,0
"639","Manny Mota","R",70,0.304,31,0
"640","Steve Renko","R",77,0.215,6,0
"641","Rick Sofield","L",73,0.243,9,0
"642","Doug DeCinces","R",74,0.259,237,0
"643","John Castino","R",71,0.278,41,0
"644","Dave May","L",70,0.251,96,0
"645","Ron Washington","R",71,0.261,20,0
"646","Billy Grabarkewitz","R",70,0.236,28,0
"647","Willie Aikens","L",75,0.271,110,0
"648","Earl Williams","R",75,0.247,138,0
"649","Don Hahn","R",73,0.236,7,0
"650","Todd Cruz","R",72,0.22,34,0
"651","Tom Egan","R",76,0.2,22,0
"652","Bob Heise","R",72,0.247,1,0
"653","Tommy Harper","R",69,0.257,146,0
"654","Joe Wallis","B",71,0.244,16,0
"655","Max Alvis","R",71,0.247,111,0
"656","Rico Carty","R",75,0.299,204,0
"657","Mike Cubbage","L",72,0.258,34,0
"658","Merritt Ranew","L",71,0.247,8,0
"659","Lyman Bostock","L",73,0.311,23,0
"660","Damaso Garcia","R",73,0.283,36,0
"661","Roy Howell","L",73,0.261,80,0
"662","Boog Powell","L",76,0.266,339,0
"663","Sonny Siebert","R",75,0.173,12,0
"664","Bobby Darwin","R",74,0.251,83,0
"665","Dan Driessen","L",71,0.267,153,0
"666","Bruce Miller","R",73,0.246,1,0
"667","Bob Bailor","R",71,0.264,9,0
"668","Tommy Helms","R",70,0.269,34,0
"669","Tony Armas","R",71,0.252,251,0
"670","Willie Horton","R",71,0.273,325,0
"671","Lou Piniella","R",72,0.291,102,0
"672","Butch Hobson","R",73,0.248,98,0
"673","John Wathan","R",74,0.262,21,0
"674","Hal King","L",73,0.214,24,0
"675","Mike Krukow","R",77,0.193,5,0
"676","Andres Mora","R",72,0.223,27,0
"677","Barry Foote","R",75,0.23,57,0
"678","Ed Ott","L",70,0.259,33,0
"679","Alan Wiggins","B",74,0.259,5,0
"680","Ron Clark","R",70,0.189,5,0
"681","Julio Gotay","R",72,0.26,6,0
"682","Gary Alexander","R",74,0.23,55,0
"683","Andre Thornton","R",75,0.254,253,0
"684","Bob Oliver","R",75,0.256,94,0
"685","Bob Robertson","R",73,0.242,115,0
"686","Ollie Brown","R",74,0.265,102,0
"687","Frank Quilici","R",73,0.214,5,0
"688","Joe Pepitone","L",74,0.258,219,0
"689","Steve Barber","L",72,0.115,5,0
"690","Norm Miller","L",70,0.238,24,0
"691","Bob Chance","L",74,0.261,24,0
"692","Julio Cruz","B",69,0.237,23,0
"693","Bill Sample","R",69,0.272,46,0
"694","Craig Kusick","R",75,0.235,46,0
"695","Rudy Meoli","L",69,0.212,2,0
"696","Ruppert Jones","L",70,0.25,147,0
"697","Glenn Hoffman","R",73,0.242,23,0
"698","Russ Gibson","R",73,0.228,8,0
"699","Terry Francona","L",73,0.274,16,0
"700","John Bateman","R",75,0.23,81,0
"701","Luis Pujols","R",74,0.193,6,0
"702","Joe Gaines","R",73,0.241,21,0
"703","Doug Rader","R",74,0.251,155,0
"704","Mickey Stanley","R",73,0.248,117,0
"705","Phil Bradley","R",72,0.286,78,0
"706","Winston Llenas","R",70,0.23,3,0
"707","Charlie Moore","R",71,0.261,36,0
"708","Ralph Garr","L",71,0.306,75,0
"709","Tommy John","R",75,0.157,5,0
"710","Bruce Benedict","R",73,0.242,18,0
"711","John Ellis","R",74,0.262,69,0
"712","Wes Parker","B",73,0.267,64,0
"713","David Green","R",75,0.268,31,0
"714","Reid Nichols","R",71,0.266,22,0
"715","Rick Reichardt","R",75,0.261,116,0
"716","Luis Tiant","R",72,0.164,5,0
"717","Broderick Perkins","L",70,0.271,8,0
"718","Leon Roberts","R",75,0.267,78,0
"719","Ray Burris","R",77,0.151,1,0
"720","Len Gabrielson","L",76,0.253,37,0
"721","Johnny Edwards","L",76,0.242,81,0
"722","Tom Grieve","R",74,0.249,65,0
"723","Bob Forsch","R",76,0.213,12,0
"724","Danny Cater","R",72,0.276,66,0
"725","Bill Schroeder","R",74,0.24,61,0
"726","Clay Dalrymple","L",72,0.233,55,0
"727","Carlos May","L",71,0.274,90,0
"728","Reggie Smith","B",72,0.287,314,0
"729","Ron Reed","R",78,0.158,0,0
"730","Davey Johnson","R",73,0.261,136,0
"731","Ellis Valentine","R",76,0.278,123,0
"732","Roy White","B",70,0.271,160,0
"733","Mike Brumley","L",70,0.229,5,0
"734","Al Luplow","L",70,0.235,33,0
"735","Dick Allen","R",71,0.292,351,0
"736","Doug Ault","R",75,0.236,17,0
"737","Mark Wagner","R",72,0.243,3,0
"738","Willie Stargell","L",74,0.282,475,0
"739","Steve Carlton","L",76,0.201,13,0
"740","Jake Wood","R",73,0.25,35,0
"741","Del Unser","L",73,0.258,87,0
"742","Bob Brower","R",71,0.242,17,0
"743","Ray Culp","R",72,0.123,1,0
"744","Ivan Murrell","R",74,0.236,33,0
"745","Lee Mazzilli","B",73,0.259,93,0
"746","Garth Iorg","R",71,0.258,20,0
"747","Alan Ashby","B",74,0.245,90,0
"748","Bob Brenly","R",74,0.247,91,0
"749","Ron Blomberg","L",73,0.293,52,0
"750","Jim Rooker","R",72,0.201,7,0
"751","Tim Blackwell","B",71,0.228,6,0
"752","Jerry Morales","R",70,0.259,95,0
"753","Davey Lopes","R",69,0.263,155,0
"754","Catfish Hunter","R",72,0.226,6,0
"755","Mario Soto","R",72,0.132,1,0
"756","Jimmy Wynn","R",70,0.25,291,0
"757","Hank Allen","R",72,0.241,6,0
"758","Jim Fregosi","R",73,0.265,151,0
"759","Pepe Frias","R",70,0.24,1,0
"760","Mike Schmidt","R",74,0.267,548,0
"761","Willie Montanez","L",72,0.275,139,0
"762","Rey Quinones","R",71,0.243,29,0
"763","Mike Squires","L",71,0.26,6,0
"764","Champ Summers","L",74,0.255,54,0
"765","Bert Campaneris","R",70,0.259,79,0
"766","Bobby Valentine","R",70,0.26,12,0
"767","Rob Andrews","R",72,0.251,3,0
"768","Tom Haller","L",76,0.257,134,0
"769","Ed Stroud","L",71,0.237,14,0
"770","Ron Swoboda","R",74,0.242,73,0
"771","Harry Spilman","L",73,0.237,18,0
"772","Bob Barton","R",72,0.226,9,0
"773","Daryl Sconiers","L",74,0.265,15,0
"774","Joe Torre","R",74,0.297,252,0
"775","Al Ferrara","R",73,0.259,51,0
"776","Sixto Lezcano","R",70,0.271,148,0
"777","Dave Nicholson","R",74,0.212,61,0
"778","Freddie Patek","R",65,0.242,41,0
"779","Ken Hubbs","R",74,0.247,14,0
"780","Pepe Mangual","R",70,0.242,16,0
"781","Leron Lee","L",72,0.25,31,0
"782","Steve Ontiveros","B",72,0.274,24,0
"783","Willie Davis","L",74,0.279,182,0
"784","Tom Lawless","R",71,0.207,2,0
"785","Jerry Moses","R",75,0.251,25,0
"786","Bobby Bonds","R",73,0.268,332,0
"787","Dave McNally","R",71,0.133,9,0
"788","Darrell Brown","B",72,0.274,1,0
"789","Roy Foster","R",72,0.253,45,0
"790","Denis Menke","R",72,0.25,101,0
"791","Hal Breeden","R",74,0.243,21,0
"792","Manny Trillo","R",73,0.263,61,0
"793","Jackie Gutierrez","R",71,0.237,4,0
"794","Jerry Kenney","L",73,0.237,7,0
"795","Fred Kendall","R",73,0.234,31,0
"796","Mike Anderson","R",74,0.246,28,0
"797","Joe Charboneau","R",74,0.266,29,0
"798","Jimmie Schaffer","R",69,0.223,11,0
"799","Junior Kennedy","R",71,0.248,4,0
"800","Wilbur Howard","B",74,0.25,6,0
"801","Rod Gilbreath","R",74,0.248,14,0
"802","Mark Brouhard","R",73,0.259,25,0
"803","Mike Young","B",74,0.247,72,0
"804","Chris Speier","R",73,0.246,112,0
"805","Gene Michael","B",74,0.229,15,0
"806","Vic Harris","B",71,0.217,13,0
"807","Mike Fischlin","R",73,0.22,3,0
"808","Don Money","R",73,0.261,176,0
"809","Joe Rudi","R",74,0.264,179,0
"810","Jim Rice","R",74,0.298,382,0
"811","Gil Garrido","R",69,0.237,1,0
"812","Marty Perez","R",71,0.246,22,0
"813","Tom Matchick","L",73,0.215,4,0
"814","Jack Perconte","L",70,0.27,2,0
"815","Ed Kirkpatrick","L",71,0.238,85,0
"816","Jerry Grote","R",70,0.252,39,0
"817","Ellie Hendricks","L",73,0.22,62,0
"818","Jim Beauchamp","R",74,0.231,14,0
"819","Tito Fuentes","B",71,0.268,45,0
"820","Ron Brand","R",67,0.239,3,0
"821","Leo Cardenas","R",71,0.257,118,0
"822","Art Shamsky","L",73,0.253,68,0
"823","Ron Cey","R",70,0.261,316,0
"824","Skip Jutze","R",71,0.215,3,0
"825","Butch Wynegar","B",73,0.255,65,0
"826","Ron LeFlore","R",72,0.288,59,0
"827","Bill Russell","R",72,0.263,46,0
"828","Gene Tenace","R",72,0.241,201,0
"829","Bubba Morton","R",70,0.267,14,0
"830","Ellie Rodriguez","R",71,0.245,16,0
"831","Darrel Chaney","B",74,0.217,14,0
"832","Dick Nen","L",74,0.224,21,0
"833","Bill Freehan","R",75,0.262,200,0
"834","Steve Nicosia","R",70,0.248,11,0
"835","Ted Savage","R",73,0.233,34,0
"836","Pete Mackanin","R",74,0.226,30,0
"837","Rich Dauer","R",72,0.257,43,0
"838","Mick Kelleher","R",69,0.213,0,0
"839","Rowland Office","L",72,0.259,32,0
"840","Rick Leach","L",73,0.268,18,0
"841","Dwayne Murphy","L",73,0.246,166,0
"842","Larry Harlow","L",74,0.248,12,0
"843","Mike Epstein","L",75,0.244,130,0
"844","Jerry Mumphrey","B",74,0.289,70,0
"845","Don Sutton","R",73,0.144,0,0
"846","Glenn Beckert","R",73,0.283,22,0
"847","Ron Davis","R",72,0.233,10,0
"848","Mike Shannon","R",75,0.255,68,0
"849","Jason Thompson","L",76,0.261,208,0
"850","Wayne Tolleson","B",69,0.241,9,0
"851","Mike Jorgensen","L",72,0.243,95,0
"852","Ed Romero","R",71,0.247,8,0
"853","Rick Joseph","R",73,0.243,13,0
"854","Cecil Cooper","L",74,0.298,241,0
"855","Bill Almon","R",75,0.254,36,0
"856","Joe Ferguson","R",74,0.24,122,0
"857","Jerry Terrell","R",71,0.253,4,0
"858","Dave Revering","L",76,0.265,62,0
"859","Curt Ford","L",70,0.245,7,0
"860","Jerry Dybzinski","R",74,0.234,3,0
"861","Bob Burda","L",71,0.224,13,0
"862","Jesse Gonder","L",70,0.251,26,0
"863","Gary Sutherland","R",72,0.243,24,0
"864","Bob Coluccio","R",71,0.22,26,0
"865","Dave Rader","L",71,0.257,30,0
"866","Ron Gardenhire","R",72,0.232,4,0
"867","Bill Sharp","L",70,0.255,9,0
"868","Alan Bannister","R",71,0.27,19,0
"869","Bob Watson","R",72,0.295,184,0
"870","Ken Harrelson","R",74,0.239,131,0
"871","Bobby Wine","R",73,0.215,30,0
"872","John Kennedy","R",72,0.225,32,0
"873","Chico Ruiz","B",72,0.24,2,0
"874","Gail Hopkins","L",70,0.266,25,0
"875","Doug Frobel","L",76,0.201,20,0
"876","Luis Melendez","R",72,0.248,9,0
"877","Bill Plummer","R",73,0.188,14,0
"878","Buck Rodgers","B",74,0.232,31,0
"879","Phil Niekro","R",73,0.169,7,0
"880","Tom Poquette","L",70,0.268,10,0
"881","Brian Asselstine","L",73,0.254,12,0
"882","Rick Miller","L",72,0.269,28,0
"883","Ed Charles","R",70,0.263,86,0
"884","Luis Gomez","R",69,0.21,0,0
"885","Floyd Rayford","R",70,0.244,38,0
"886","Tony Conigliaro","R",75,0.264,166,0
"887","Jim Barr","R",75,0.162,1,0
"888","Jerry Remy","L",69,0.275,7,0
"889","Frank Duffy","R",73,0.232,26,0
"890","Tom O'Malley","L",72,0.256,13,0
"891","Phil Garner","R",70,0.26,109,0
